Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",BHS,GDP (current US$),169803922,190098039,212254902,237745098,266666667,300392157,340000000,390196078,444901961,528137255,538423154,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11861900000,11834600000,12357600000,12755800000,13.2B,9.7B,11.2B
Bosnia and Herzegovina,BIH,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671816504,4116699437,4685733115,5567405605,5800774707,6728771319,8498560877,10157553968,11222953329,12864610865,15778767390,19112739365,17613836494,17176781066,18644723861,17221192487,18172335776,18560861398,16219819344,16914287593,18079076427,20177422311,20.2B,20.0B,22.6B
Belarus,BLR,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000,18000000000,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,64.4B,61.5B,68.2B
Belize,BLZ,GDP (current US$),28071889,29964371,31856923,33749405,36193826,40069930,44405594,47379310,44910180,47305389,53233533,59207317,66062500,78343558,103216374,118066298,96905830,117650000,136300000,151800000,197938222,196089855,182206327,192103186,214381949,212643743,231638321,281082559,320093360,369133891,412086445,444720750,518559700,560205300,581269550,620422500,641660000,654582900,689140000,732732350,832072450,871590369,932292859,990727710,1057653620,1111453824,1211148305,1283112550,1352588868,1320605472,1387925188,1466822039,1531348953,1581844936,1676406802,1734320479,1796928937,1844906693,1887465218,1.9B,1.6B,1.8B
Bermuda,BMU,GDP (current US$),84466654,89249987,94149986,96366652,107566651,114339049,134173374,155102985,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7.4B,6.9B,7.1B
Bolivia,BOL,GDP (current US$),373879364,406684586,444665186,478805990,539491477,604377104,669191919,755808081,857912458,929629630,1017003367,1095622896,1257615645,1262968516,2100249875,2404697651,2731984008,3227436282,3758220890,4421343606,4537487803,5891606685,5594118407,5422656266,6169481549,5377276657,3959379400,4347956338,4597615622,4715978694,4867582598,5343274395,5643893347,5734676631,5981244865,6715220486,7396966618,7925673467,8497545544,8285075838,8397912525,8141537877,7905485146,8082364816,8773451752,9549077919,11451869202,13120183208,16674324662,17339992194,19649631308,23963033429,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40.9B,36.6B,40.4B
Brazil,BRA,GDP (current US$),17030465539,17275940449,19231747852,23287712878,20963733695,22465522884,28283323733,31086389195,33930457425,37171640819,42327664794,48869830902,58434858375,83592275863,109794519728,129203555239,153168949208,176344101402,200278646124,221338204480,237393489893,258015174749,271314113768,189656506321,188339974087,176123719327,215878631803,237517984428,258816125588,347028139590,390725626003,342609227210,328187944301,368295777770,525369851354,769333330369,850426433004,883206452795,863711007325,599642075004,655448188259,559983704094,509795270685,558233724165,669289321945,891633826603,1107626711407,1397114247331,1695855391811,1666996294373,2208838108577,2616156606667,2465228293894,2472819362217,2456043766029,1802211999539,1795693265810,2063514688762,1916933708382,1873.3B,1448.6B,1609.0B
Barbados,BRB,GDP (current US$),,,,,,,,,,,,,,,311809337,402178605,435911269,495097668,552883707,670362452,1012280615,1114204743,1163923830,1236016507,1346890071,1409536121,1547755183,1704370308,1812757918,2006165167,2012131457,2020583702,1957000000,2063342117,2151344901,2216974096,2363645403,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450803,4674007452,4784925079,4465657315,4529928302,4657699461,4610095998,4677248302,4696344342,4724691213,4832811756,4981588900,5097283213,5.3B,4.7B,4.9B
Brunei Darussalam,BRN,GDP (current US$),,,,,,114040246,132758395,139030446,160819287,161211290,179080099,197523179,270818556,433092004,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,13.5B,12.0B,14.0B
Bhutan,BTN,GDP (current US$),,,,,,,,,,,,,,,,,,,,,128717411,139150441,141366534,156687192,160459971,163272315,191230747,242770862,272241005,264725207,287658184,240319996,240215764,225998091,258985598,290464801,303435518,352260953,363452787,399268802,424464090,461444514,520849552,604041958,682523857,796938120,874989896,1168308517,1227808791,1234014292,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2.5B,2.3B,
